X,Y,ORIENTATION,TIMESTAMP,BEACON_01,BEACON_02,BEACON_03,BEACON_04,BEACON_05,BEACON_06,BEACON_07,BEACON_08,BEACON_09,BEACON_10,BEACON_11
15.1,6.9,270,1615120694523,100.0,100.0,100.0,-78.66666666666667,-85.66666666666667,-86.0,-87.5,100.0,100.0,100.0,100.0
15.1,18.6,0,1615125754108,100.0,-85.0,100.0,100.0,100.0,100.0,100.0,-93.0,100.0,100.0,100.0
15.1,18.6,90,1615125768759,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-90.0,100.0,100.0,100.0
15.1,18.6,270,1615125827761,100.0,100.0,100.0,100.0,100.0,100.0,-95.0,100.0,100.0,100.0,100.0
15.1,30.4,0,1615117856894,-79.85714285714286,-78.57142857142857,-87.0,100.0,100.0,100.0,100.0,-84.33333333333333,-82.33333333333333,-93.0,-89.0
15.1,30.4,90,1615117882460,-72.8,-79.0,-95.0,100.0,100.0,100.0,100.0,-88.66666666666667,-84.33333333333333,100.0,-89.75
15.1,30.4,180,1615117903568,-68.6,-86.16666666666667,-88.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-84.25
15.1,30.4,270,1615117928451,-74.0,-83.66666666666667,-89.0,100.0,100.0,100.0,100.0,-85.33333333333333,-91.0,100.0,-86.33333333333333
16.3,32.9,0,1615113357987,-91.5,-84.0,-93.0,100.0,100.0,100.0,100.0,-84.33333333333333,-63.2,-91.0,100.0
16.3,32.9,90,1615113381406,-86.0,-83.33333333333333,100.0,100.0,100.0,100.0,100.0,-86.5,-68.25,100.0,100.0
16.3,32.9,180,1615113405160,-92.75,-87.5,-90.0,100.0,100.0,100.0,100.0,-87.16666666666667,-74.5,100.0,100.0
16.3,32.9,270,1615113431946,100.0,-82.0,100.0,100.0,100.0,100.0,100.0,-90.0,-77.0,100.0,100.0
16.3,34.6,0,1615113459515,-89.0,-82.5,100.0,100.0,100.0,100.0,100.0,-89.75,-78.42857142857143,100.0,100.0
16.3,34.6,90,1615113487746,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-82.0,-70.33333333333333,100.0,100.0
16.3,34.6,180,1615113510740,-87.0,-83.66666666666667,100.0,100.0,100.0,100.0,100.0,-87.5,-71.75,100.0,100.0
16.3,34.6,270,1615113532471,-92.0,-85.2,100.0,100.0,100.0,100.0,100.0,-84.2,-71.0,100.0,-93.0
16.6,11.6,0,1615116764090,100.0,100.0,100.0,100.0,100.0,100.0,-77.0,100.0,100.0,100.0,100.0
16.6,11.6,90,1615116775238,100.0,100.0,100.0,100.0,-83.0,-98.0,-81.0,100.0,100.0,100.0,100.0
16.6,11.6,180,1615116800848,100.0,100.0,100.0,-78.0,-88.6,100.0,-84.5,100.0,100.0,100.0,100.0
16.6,11.6,270,1615116821674,100.0,100.0,100.0,-87.5,-88.0,100.0,-82.0,100.0,100.0,100.0,100.0
16.6,25.6,0,1615116868376,-84.75,-84.0,100.0,100.0,100.0,100.0,100.0,-82.8,-85.0,100.0,100.0
16.6,25.6,90,1615116889225,-87.83333333333333,-85.0,-90.0,100.0,100.0,100.0,100.0,-77.75,-86.25,100.0,100.0
16.6,25.6,180,1615116916142,-78.83333333333333,-89.75,100.0,100.0,100.0,100.0,100.0,-80.8,100.0,100.0,100.0
16.6,25.6,270,1615116940643,-84.0,-84.33333333333333,-92.0,100.0,100.0,100.0,100.0,-79.0,-87.0,100.0,100.0
16.8,6.9,0,1615120734284,100.0,100.0,100.0,100.0,-74.0,100.0,-87.0,100.0,100.0,100.0,100.0
16.8,6.9,90,1615120762606,100.0,100.0,100.0,-81.0,100.0,-77.5,100.0,100.0,100.0,100.0,100.0
16.8,6.9,180,1615120777097,100.0,100.0,100.0,-68.0,-80.0,-85.0,-83.0,100.0,100.0,100.0,100.0
16.8,6.9,270,1615120806456,100.0,100.0,100.0,100.0,-81.0,-85.0,100.0,100.0,100.0,100.0,100.0
16.8,18.6,0,1615125851838,100.0,-89.5,100.0,100.0,100.0,100.0,-86.0,100.0,100.0,100.0,100.0
16.8,18.6,90,1615125877198,100.0,-87.0,100.0,100.0,100.0,100.0,-85.25,-86.0,100.0,100.0,100.0
16.8,18.6,180,1615125899786,100.0,100.0,100.0,100.0,100.0,100.0,-88.0,100.0,100.0,100.0,100.0
16.8,18.6,270,1615125922973,100.0,-90.0,100.0,100.0,100.0,100.0,-86.0,100.0,100.0,100.0,100.0
16.8,30.4,0,1615117968504,-77.8,-72.25,-81.8,100.0,100.0,100.0,100.0,-83.0,-88.25,100.0,-90.0
16.8,30.4,90,1615117992634,-75.5,-79.0,-91.5,100.0,100.0,100.0,-92.0,-80.4,-83.71428571428571,100.0,-97.0
16.8,30.4,180,1615118017784,-67.0,-77.0,-87.66666666666667,100.0,100.0,100.0,100.0,-86.66666666666667,-85.0,100.0,-82.0
16.8,30.4,270,1615118039757,-75.2,-83.2,-89.25,100.0,100.0,100.0,100.0,-85.0,-88.0,100.0,-87.2
18.5,6.9,0,1615120846470,100.0,100.0,100.0,100.0,-74.0,-73.33333333333333,100.0,100.0,100.0,100.0,100.0
18.5,6.9,90,1615120869964,100.0,100.0,100.0,-83.0,-78.5,-78.33333333333333,100.0,100.0,100.0,100.0,100.0
18.5,6.9,180,1615120894207,100.0,100.0,100.0,-83.0,-79.0,100.0,-76.0,100.0,100.0,100.0,100.0
18.5,6.9,270,1615120925046,100.0,-88.0,100.0,-77.0,-77.0,100.0,-73.5,-92.0,100.0,100.0,100.0
18.5,30.4,0,1615118072798,-81.85714285714286,-70.5,-82.75,100.0,100.0,100.0,100.0,-77.83333333333333,-78.33333333333333,-92.0,-89.0
18.5,30.4,90,1615118096421,-79.5,-72.2,-84.0,100.0,100.0,100.0,-88.33333333333333,-80.5,-84.66666666666667,-91.66666666666667,100.0
18.5,30.4,180,1615118121604,-70.2,-80.6,-86.0,100.0,100.0,100.0,-91.0,-84.0,-83.4,100.0,100.0
18.5,30.4,270,1615118145259,-85.4,-74.0,-86.66666666666667,100.0,100.0,100.0,-89.66666666666667,-83.5,-83.4,100.0,-88.0
19.2,1.8,0,1615124463600,100.0,100.0,100.0,-84.5,-79.0,-89.33333333333333,-84.0,100.0,100.0,100.0,100.0
19.2,1.8,90,1615124488219,100.0,100.0,100.0,-86.0,-79.25,-80.25,-80.33333333333333,100.0,100.0,100.0,100.0
19.2,1.8,180,1615124507722,100.0,100.0,100.0,100.0,-74.0,100.0,100.0,100.0,100.0,100.0,100.0
19.2,1.8,270,1615124534900,100.0,100.0,100.0,-80.0,-79.66666666666667,-85.25,-79.25,-89.0,-90.0,100.0,100.0
19.2,3.5,0,1615124357422,100.0,-93.0,100.0,-86.0,-83.0,-81.33333333333333,-78.0,100.0,-95.0,100.0,100.0
19.2,3.5,90,1615124389352,100.0,100.0,100.0,-88.0,-78.0,100.0,-85.5,100.0,100.0,100.0,100.0
19.2,3.5,180,1615124405700,100.0,100.0,100.0,-90.0,100.0,-84.0,100.0,100.0,100.0,100.0,100.0
19.2,3.5,270,1615124435669,100.0,100.0,100.0,-86.5,-75.0,100.0,-75.5,100.0,100.0,100.0,100.0
19.2,5.2,0,1615124238812,100.0,100.0,100.0,100.0,-72.0,-77.0,-76.0,100.0,100.0,100.0,100.0
19.2,5.2,90,1615124263202,100.0,-95.0,100.0,-89.0,-76.5,-81.0,-88.0,100.0,100.0,100.0,100.0
19.2,5.2,180,1615124281166,100.0,100.0,100.0,-86.0,100.0,-74.0,100.0,100.0,100.0,100.0,100.0
19.2,5.2,270,1615124310871,100.0,-91.0,100.0,-81.6,-76.71428571428571,-81.5,-80.4,-90.0,100.0,100.0,100.0
19.2,8.6,0,1615124118637,100.0,-89.0,100.0,-83.25,-72.16666666666667,-81.5,-75.8,-86.0,-88.66666666666667,100.0,100.0
19.2,8.6,90,1615124143428,100.0,-91.0,100.0,-82.33333333333333,-80.0,-82.5,-81.0,-90.0,-88.0,100.0,100.0
19.2,8.6,180,1615124172976,100.0,100.0,100.0,-80.5,-77.0,-80.5,-81.5,100.0,100.0,100.0,100.0
19.2,8.6,270,1615124199731,100.0,-89.75,100.0,-84.0,-75.0,-80.0,-69.25,-86.2,-86.0,100.0,100.0
19.2,10.3,0,1615124013095,100.0,-91.0,100.0,-89.0,-77.5,-79.0,-75.66666666666667,100.0,-86.0,100.0,100.0
19.2,10.3,90,1615124038396,100.0,-93.0,100.0,-84.5,-79.0,-82.0,-69.0,-91.0,100.0,100.0,100.0
19.2,10.3,180,1615124057404,100.0,-95.0,100.0,-88.0,-74.75,-83.33333333333333,-76.4,-92.0,100.0,100.0,100.0
19.2,10.3,270,1615124088609,100.0,-88.0,100.0,-82.0,-80.33333333333333,-84.6,-69.0,-87.5,-87.25,100.0,100.0
19.2,12.0,0,1615123905920,100.0,-89.33333333333333,100.0,-86.0,-82.0,100.0,-71.0,-89.0,100.0,100.0,100.0
19.2,12.0,90,1615123930517,100.0,-90.0,100.0,-84.75,-78.66666666666667,-88.66666666666667,-75.8,-90.0,-90.5,100.0,100.0
19.2,12.0,180,1615123952641,100.0,100.0,100.0,-86.5,100.0,-83.0,-79.0,-87.0,100.0,100.0,100.0
19.2,12.0,270,1615123981457,100.0,-86.66666666666667,100.0,-87.33333333333333,-79.0,-87.33333333333333,-69.6,-89.0,-91.0,100.0,100.0
19.2,13.7,0,1615123797885,100.0,-87.0,100.0,-86.5,-84.14285714285714,-89.0,-62.57142857142857,-87.5,100.0,100.0,100.0
19.2,13.7,90,1615123823580,100.0,100.0,100.0,-87.0,-87.5,-87.66666666666667,-68.5,-91.0,-86.0,100.0,100.0
19.2,13.7,180,1615123851092,100.0,100.0,100.0,-87.0,-82.75,100.0,-77.33333333333333,-89.5,100.0,100.0,100.0
19.2,13.7,270,1615123875821,100.0,-83.0,100.0,-92.0,-80.5,-88.0,-77.0,100.0,-86.5,100.0,100.0
19.2,15.4,0,1615123684309,100.0,-87.6,100.0,-86.0,-86.5,100.0,-71.33333333333333,-84.66666666666667,-88.0,100.0,100.0
19.2,15.4,90,1615123713062,100.0,100.0,100.0,100.0,-83.0,100.0,-70.0,-90.0,-87.0,100.0,100.0
19.2,15.4,180,1615123730702,100.0,-90.0,100.0,-89.5,100.0,100.0,-67.0,-90.0,-95.0,100.0,100.0
19.2,15.4,270,1615123757840,100.0,-86.0,100.0,100.0,-84.0,-91.0,-70.5,-88.0,-87.0,100.0,100.0
19.2,17.1,0,1615123551173,100.0,-88.0,100.0,-90.0,-88.75,-91.5,-79.4,-84.33333333333333,-87.66666666666667,100.0,100.0
19.2,17.1,90,1615123573582,100.0,-83.16666666666667,100.0,100.0,-86.0,-89.0,-84.4,-83.5,-86.5,100.0,100.0
19.2,17.1,180,1615123602229,100.0,-82.57142857142857,100.0,-91.0,-85.6,100.0,-75.4,-81.85714285714286,-89.66666666666667,100.0,100.0
19.2,17.1,270,1615123624614,-96.0,-81.66666666666667,100.0,100.0,-86.0,100.0,-80.4,-83.0,-83.25,100.0,100.0
19.2,18.6,0,1615123443586,100.0,-90.5,100.0,100.0,-88.5,100.0,-83.0,-83.4,-88.66666666666667,100.0,100.0
19.2,18.6,90,1615123467087,100.0,-84.25,-90.0,100.0,-87.0,-89.0,-76.5,-81.16666666666667,-86.66666666666667,100.0,100.0
19.2,18.6,180,1615123497502,100.0,-83.33333333333333,100.0,100.0,100.0,100.0,-76.75,-78.0,-89.0,100.0,100.0
19.2,18.6,270,1615123518334,-88.5,-79.71428571428571,-90.0,100.0,-88.25,100.0,-77.83333333333333,-82.33333333333333,-83.83333333333333,100.0,100.0
19.2,20.2,0,1615123332170,100.0,-83.5,100.0,100.0,-88.5,100.0,-84.0,-79.6,-84.75,100.0,100.0
19.2,20.2,90,1615123356483,-90.0,-84.0,-88.75,100.0,-88.0,-91.0,-78.0,-85.8,-88.33333333333333,100.0,100.0
19.2,20.2,180,1615123380362,100.0,-85.75,-90.0,100.0,-91.0,100.0,-84.4,-80.0,-87.0,100.0,100.0
19.2,20.2,270,1615123410458,-88.5,-78.8,100.0,100.0,-87.0,100.0,-84.8,-75.5,-83.16666666666667,100.0,100.0
19.2,21.9,0,1615123214928,-83.5,-80.0,-88.25,100.0,100.0,100.0,-83.16666666666667,-73.14285714285714,-83.57142857142857,-85.5,100.0
19.2,21.9,90,1615123243366,-86.5,-83.5,-87.5,100.0,-89.5,100.0,-82.5,-78.33333333333333,-78.75,100.0,100.0
19.2,21.9,180,1615123270411,-89.5,-76.0,-89.0,100.0,100.0,100.0,-89.66666666666667,-69.33333333333333,-87.0,100.0,100.0
19.2,21.9,270,1615123293266,-86.5,-78.5,-86.5,100.0,-94.0,100.0,-87.5,-70.83333333333333,-81.66666666666667,-87.5,100.0
19.2,23.6,0,1615123094386,-82.8,-79.8,-89.0,100.0,100.0,100.0,100.0,-77.4,-83.16666666666667,-90.0,100.0
19.2,23.6,90,1615123120222,-85.33333333333333,-81.66666666666667,-86.5,100.0,-93.0,100.0,-89.66666666666667,-73.6,-82.8,-90.0,100.0
19.2,23.6,180,1615123145227,-83.66666666666667,-78.2,-90.25,100.0,100.0,100.0,-82.5,-65.2,-85.33333333333333,100.0,100.0
19.2,23.6,270,1615123173368,-83.14285714285714,-75.85714285714286,-87.0,100.0,-95.0,100.0,-90.5,-64.57142857142857,-75.4,-88.0,100.0
19.2,25.3,0,1615122971266,-84.5,-78.16666666666667,100.0,100.0,100.0,100.0,-90.0,-82.5,-81.4,100.0,100.0
19.2,25.3,90,1615122996334,-90.75,-84.2,-90.6,100.0,100.0,100.0,-85.33333333333333,-69.25,-82.75,100.0,100.0
19.2,25.3,180,1615123022642,-84.0,-82.0,-84.0,100.0,100.0,100.0,-86.0,-69.8,-84.66666666666667,100.0,100.0
19.2,25.3,270,1615123043066,-84.33333333333333,-88.6,-88.75,100.0,-92.0,100.0,-89.0,-75.0,-77.57142857142857,-91.5,100.0
19.2,27.0,0,1615122868495,-82.75,-82.0,-88.5,100.0,100.0,100.0,-92.0,-81.5,-78.8,100.0,100.0
19.2,27.0,90,1615122890332,-83.14285714285714,-78.5,100.0,100.0,-91.0,100.0,-92.0,-74.75,-78.16666666666667,-94.0,100.0
19.2,27.0,180,1615122915005,-78.57142857142857,-79.14285714285714,-91.0,100.0,100.0,100.0,-88.5,-77.42857142857143,-84.8,100.0,100.0
19.2,27.0,270,1615122936879,-83.0,-79.57142857142857,-95.0,100.0,-93.0,100.0,-88.33333333333333,-80.57142857142857,-78.25,-92.0,100.0
19.2,28.7,0,1615122759151,-85.8,-69.57142857142857,-88.0,100.0,100.0,100.0,-88.5,-76.4,-80.0,-90.5,-90.0
19.2,28.7,90,1615122786539,-74.5,-79.5,100.0,100.0,-93.0,100.0,-89.0,-76.5,-75.8,100.0,-90.0
